"id
","模块类型:
1定时活动
2经验
3装备道具
4金币",活动名称,活动icon,"参数[参数类型,ID,value]:
1活动[活动ID,funopenID],
2副本[副本ID],
3面板[活动id,funopenID],
4任务Npc[任务Id]",规则描述,"活动奖励
[类型,id,值]
"
id,type,name,icon,param,descript,award1
1,1,膜拜城主,1,1_1_21,每天膜拜城主，可获得大量经验奖励,
2,1,全服多倍经验,2,1_2 ,多倍经验开启时间内，打怪经验翻倍，抓紧时间升级吧,
3,1,怪物攻城,3,1_3,打败怪物攻城期间比崎城里的怪物，就有机会获得稀有装备道具奖励哦,
4,1,世界boss,4,3_4_20,世界boss每天开启2次，打败boss可获得稀有装备奖励,
5,1,乱舞大会,5,3_5_16,自由PK地图，最后的胜利者可获赠稀有道具奖励,
6,1,智力答题,6,3_6_17,每天参与智力答题，可获取大量的经验奖励,
7,1,世界boss,4,3_7_20,世界boss每天开启2次，打败boss可获得稀有装备奖励,
8,1,夺宝奇兵,8,1_8,在藏宝房间中打败boss，最终活动时间结束宝箱的持有者就可以打开宝箱获得宝箱中的装备道具奖励,
9,1,未知暗殿,9,1_10_34,每周一次未知暗殿，奖励丰富,
10,1,王城争霸,10,3_0_3,王城争霸，夺得战旗即可成为一城之主,
11,2,斗酒,11,3_0_18,斗酒可以获得大量经验奖励,1_73_0
12,2,押镖,12,4_2,到镖头处接取押送镖车的任务后，完成任务即可活动大量经验奖励,
13,2,蛮荒岭,13,4_4,"进入蛮荒岭内阻击进攻的怪物,就可以获得大量的经验",1_73_0
14,2,斩妖队魔,14,4_1,找天机老人领取斩妖除魔任务，是获得大量经验的有效途径哦,
15,2,经验副本,15,2_1,单人副本经验产出地图，通关后即可获得大量经验奖励,
16,3,幻境,16,3_0_28,挂机刷宝地图，玩家打装备升级的最好选择,
17,3,VIP副本,17,3_0_14,神将专属地图，只要开通神将就可以进入哦,
18,3,坐骑副本,18,2_2,单人副本坐骑进阶丹产出地图，通关就可以获得大量的坐骑进阶丹奖励,
19,3,装备副本,19,2_4,单人副本刷装备地图，有机会获得稀有装备奖励哦,
20,3,羽翼副本,20,2_5,单人副本羽翼进阶符产出地图，通关就可以获得大量的羽翼进阶符奖励,
21,3,锻造副本,21,2_6,单人副本强化石产出地图，通关就可以获得强化石奖励,
22,3,内力副本,22,2_7,单人副本内力地图，通关可以获得大量内力奖励,
23,4,庄园采集,23,4_3,找镇龙将军接取采集任务，完成任务即可获得大量金币奖励,
24,4,金币副本,24,2_3,单人副本金币地图，通关即可大量金币奖励,
25,1,桃源圣地,26,1_11_37,策划未配置描述信息,
